Customer_Name,Recency,Frequency,Monetary,Cluster
Ahmed Ali,384,1,509.12,0
Ahmed Anderson,494,1,133.68,0
Ahmed Clark,636,2,94.28,2
Ahmed Dubois,23,3,105.73,2
Ahmed Garcia,923,2,1769.48,3
Ahmed Harris,1030,1,598.14,1
Ahmed Hassan,264,1,162.03,0
Ahmed Jackson,275,2,247.54,2
Ahmed Johansson,133,2,1670.1000000000001,3
Ahmed Johnson,383,1,27.5,0
Ahmed Miller,990,1,1196.43,1
Ahmed Pereira,791,1,66.12,1
Ahmed Rodriguez,77,1,387.86,0
Ahmed Russo,108,1,179.32,0
Ahmed Santos,620,1,111.55,1
Ahmed Sharma,379,2,150.87,2
Ahmed Singh,565,3,1583.7,3
Ahmed Smith,309,1,11.15,0
Ahmed Tanaka,410,1,7.03,0
Ahmed Taylor,787,2,432.71000000000004,2
Ahmed Thomas,383,1,659.08,0
Ahmed Thompson,909,1,240.97,1
Ahmed Weber,208,1,29.16,0
Ahmed Zhang,287,1,199.3,0
Ali Dubois,615,1,12.87,1
Ali Harris,160,2,1920.8899999999999,3
Ali Hassan,417,1,106.82,0
Ali Jackson,10,1,85.33,0
Ali Johansson,837,2,577.5,2
Ali Johnson,840,1,603.09,1
Ali Jones,524,2,281.8,2
Ali Kim,126,1,115.14,0
Ali Leroy,346,1,32.2,0
Ali Li,798,1,154.26,1
Ali Miller,114,3,825.42,2
Ali Müller,266,1,122.8,0
Ali Oliveira,534,1,103.77,0
Ali Patel,484,1,239.2,0
Ali Rodriguez,1090,1,55.83,1
Ali Romano,772,1,16.66,1
Ali Sato,560,1,139.56,1
Ali Taylor,288,1,232.53,0
Ali Thomas,622,1,42.36,1
Ali Wang,114,2,746.33,2
Ali Weber,737,1,273.55,1
Ali Yamamoto,64,2,260.69,2
Amina Ali,870,1,21.34,1
Amina Anderson,193,1,11.03,0
Amina Clark,540,2,146.91,2
Amina Harris,432,2,88.92,2
Amina Johansson,849,2,66.96000000000001,1
Amina Jones,757,1,132.12,1
Amina Khan,265,1,39.65,0
Amina Nilsson,116,1,142.31,0
Amina Romano,535,1,20.12,0
Amina Russo,586,1,224.54,1
Amina Sharma,132,1,10.91,0
Amina Singh,254,1,466.65,0
Amina Smith,18,1,69.66,0
Amina Tanaka,214,1,20.23,0
Amina Taylor,197,3,338.36,2
Amina Thomas,499,1,108.66,0
Amina Wang,491,1,103.74,0
Amir Ali,263,2,219.52,2
Amir Anderson,461,1,120.95,0
Amir Brown,127,1,1319.0,3
Amir Chen,936,1,585.15,1
Amir Dubois,104,1,7.95,0
Amir Ferrari,101,1,71.74,0
Amir Garcia,703,2,1469.12,3
Amir Hassan,571,2,293.97,2
Amir Johansson,407,1,35.42,0
Amir Khan,651,2,1142.43,3
Amir Laurent,761,1,917.09,1
Amir Li,607,1,754.02,1
Amir Moreau,474,1,86.26,0
Amir Oliveira,1079,1,1501.15,3
Amir Park,810,1,31.5,1
Amir Rodriguez,345,1,239.7,0
Amir Singh,882,1,30.49,1
Amir Smith,512,1,228.99,0
Amir Tanaka,82,1,89.48,0
Amir Taylor,313,1,138.89,0
Amir Thompson,153,2,614.55,2
Amir Wang,633,1,11.3,1
Amir Williams,86,1,543.78,0
Amir Yamamoto,179,2,170.36999999999998,2
Ava Clark,197,3,306.87,2
Ava Ferrari,1003,1,264.38,1
Ava Fischer,129,3,1739.6200000000001,3
Ava Garcia,756,1,109.76,1
Ava Harris,600,1,148.04,1
Ava Jones,1058,1,174.28,1
Ava Laurent,21,1,73.52,0
Ava Li,752,1,17.47,1
Ava Martinez,1066,1,24.65,1
Ava Miller,431,1,244.2,0
Ava Oliveira,217,1,162.05,0
Ava Patel,559,1,64.87,1
Ava Rodriguez,401,1,21.0,0
Ava Rossi,88,2,278.23,2
Ava Yamamoto,217,2,192.3,2
Ayumi Ahmed,964,1,1438.39,3
Ayumi Ali,825,1,79.98,1
Ayumi Clark,307,1,479.86,0
Ayumi Dubois,1,1,619.37,0
Ayumi Ferrari,1091,1,61.04,1
Ayumi Garcia,800,2,160.88,2
Ayumi Harris,240,2,489.01,2
Ayumi Johnson,1009,1,385.36,1
Ayumi Khan,365,2,725.33,2
Ayumi Kumar,756,1,54.37,1
Ayumi Laurent,418,1,577.02,0
Ayumi Martin,856,1,28.39,1
Ayumi Martinez,716,2,1131.45,3
Ayumi Miller,637,1,37.26,1
Ayumi Moreau,546,1,16.8,0
Ayumi Nilsson,1050,1,48.95,1
Ayumi Pereira,324,1,22.48,0
Ayumi Robinson,407,2,426.26,2
Ayumi Romano,185,1,87.36,0
Ayumi Russo,4,1,41.13,0
Ayumi Singh,54,2,801.33,2
Ayumi Smith,328,1,49.91,0
Ayumi Suzuki,723,2,99.42999999999999,2
Ayumi Tanaka,737,2,82.87,2
Ayumi Taylor,380,1,251.52,0
Ayumi Thomas,473,1,375.0,0
Ayumi White,181,2,168.16000000000003,2
Ayumi Zhang,219,1,810.88,0
Barbara Ali,584,3,460.7,2
Barbara Davis,716,3,552.83,2
Barbara Dubois,562,1,192.38,1
Barbara Fischer,222,1,25.88,0
Barbara Hassan,873,1,513.13,1
Barbara Johnson,383,1,22.8,0
Barbara Jones,1,2,175.85,2
Barbara Khan,354,1,52.98,0
Barbara Leroy,1023,1,109.88,1
Barbara Miller,428,1,74.71,0
Barbara Moreau,427,1,34.7,0
Barbara Nilsson,620,1,314.72,1
Barbara Robinson,156,1,291.9,0
Barbara Rossi,947,1,35.7,1
Barbara Russo,1012,1,69.03,1
Barbara Sato,655,1,555.27,1
Barbara Sharma,340,3,591.9300000000001,2
Barbara Singh,340,1,557.76,0
Barbara Suzuki,986,1,617.58,1
Barbara Thomas,989,1,609.39,1
Barbara Weber,230,2,145.51,2
Barbara White,235,1,34.06,0
Barbara Williams,13,1,147.96,0
Carlos Ahmed,724,1,47.57,1
Carlos Ali,272,2,78.98,2
Carlos Anderson,1009,1,183.12,1
Carlos Davis,427,1,97.81,0
Carlos Dubois,927,1,63.27,1
Carlos Ferrari,209,2,1786.34,3
Carlos Jackson,191,1,60.48,0
Carlos Jones,282,1,47.2,0
Carlos Martinez,665,1,55.14,1
Carlos Patel,459,1,88.94,0
Carlos Robinson,613,1,109.09,1
Carlos Rodriguez,22,2,610.24,2
Carlos Santos,822,1,112.12,1
Carlos Schmidt,555,2,51.41,2
Carlos Sharma,145,3,418.67,2
Carlos Smith,1013,1,335.28,1
Carlos Tanaka,172,1,2051.57,3
Carlos Thomas,9,2,151.44,2
Carlos Thompson,561,1,203.59,1
Carlos Wang,988,1,199.03,1
Carlos Yamamoto,472,1,20.04,0
Chen Ali,173,1,105.71,0
Chen Anderson,512,1,196.42,0
Chen Chen,100,1,260.89,0
Chen Dubois,645,1,32.69,1
Chen Garcia,686,2,74.96000000000001,2
Chen Johansson,728,1,222.26,1
Chen Johnson,892,1,120.72,1
Chen Jones,910,1,776.28,1
Chen Khan,185,1,16.16,0
Chen Laurent,1071,1,159.19,1
Chen Martin,190,2,100.24,2
Chen Martinez,98,1,98.69,0
Chen Miller,929,1,197.88,1
Chen Nilsson,760,1,159.64,1
Chen Patel,24,5,1470.07,2
Chen Rodriguez,855,1,34.92,1
Chen Romano,300,2,207.08,2
Chen Rossi,212,2,22.15,2
Chen Santos,248,2,256.72,2
Chen Singh,1075,1,99.69,1
Chen Smith,943,1,148.31,1
Chen Tanaka,79,2,236.85,2
Chen Taylor,8,1,71.31,0
Chen Thompson,702,2,270.46,2
Christopher Ahmed,229,1,16.15,0
Christopher Brown,510,2,180.93,2
Christopher Chen,178,2,133.74,2
Christopher Clark,332,1,56.36,0
Christopher Davis,76,2,1016.5899999999999,2
Christopher Fischer,426,1,16.58,0
Christopher Harris,244,2,120.17999999999999,2
Christopher Hassan,214,1,1202.53,3
Christopher Jackson,355,1,121.72,0
Christopher Johansson,1084,1,914.43,1
Christopher Jones,240,1,489.74,0
Christopher Khan,207,2,442.95000000000005,2
Christopher Leroy,515,2,1094.01,2
Christopher Martinez,341,1,173.45,0
Christopher Miller,410,1,41.58,0
Christopher Müller,482,1,187.47,0
Christopher Park,170,2,286.33,2
Christopher Robinson,935,1,245.08,1
Christopher Rodriguez,107,1,371.64,0
Christopher Romano,38,1,1197.9,3
Christopher Rossi,880,1,85.18,1
Christopher Schmidt,521,1,198.38,0
Christopher Tanaka,248,1,114.37,0
Christopher Taylor,966,1,121.2,1
Christopher Thompson,814,1,235.92,1
Christopher White,67,1,983.4,0
Christopher Williams,863,1,286.17,1
Clara Ali,377,1,71.08,0
Clara Brown,161,1,19.73,0
Clara Clark,872,1,52.81,1
Clara Costa,311,1,36.29,0
Clara Dubois,165,1,230.66,0
Clara Fischer,45,1,22.8,0
Clara Garcia,272,2,112.22,2
Clara Hassan,36,2,360.17,2
Clara Jackson,959,1,297.23,1
Clara Johnson,664,1,26.25,1
Clara Laurent,349,1,409.32,0
Clara Leroy,525,1,156.1,0
Clara Martin,172,1,192.45,0
Clara Martinez,191,1,120.43,0
Clara Miller,406,3,1362.28,2
Clara Moreau,204,1,66.9,0
Clara Müller,379,1,2538.5,3
Clara Nilsson,902,1,16.48,1
Clara Oliveira,988,1,291.24,1
Clara Robinson,121,2,358.24,2
Clara Rodriguez,705,1,141.77,1
Clara Romano,586,2,222.13,2
Clara Santos,951,1,45.14,1
Clara Sato,701,1,56.28,1
Clara Schmidt,482,1,68.85,0
Clara Sharma,179,1,432.8,0
Clara Singh,627,1,20.08,1
Clara Smith,1082,1,37.16,1
Clara Tanaka,545,2,90.89,2
Clara Taylor,1094,1,105.16,1
Clara Williams,894,1,101.04,1
David Anderson,1070,1,424.26,1
David Chen,254,1,18.14,0
David Clark,851,1,603.9,1
David Fischer,236,1,1399.84,3
David Garcia,531,1,1616.1,3
David Harris,1030,1,53.77,1
David Johansson,270,1,626.39,0
David Kumar,192,1,51.63,0
David Laurent,587,1,38.74,1
David Leroy,740,1,120.46,1
David Nilsson,169,1,170.26,0
David Park,265,1,329.91,0
David Rodriguez,431,1,236.93,0
David Rossi,363,1,624.38,0
David Schmidt,427,1,507.0,0
David Smith,233,3,151.6,2
David Suzuki,482,1,257.67,0
David Thompson,900,1,193.41,1
David White,753,1,14.32,1
David Williams,90,1,96.88,0
Diego Anderson,749,1,31.05,1
Diego Davis,897,1,49.18,1
Diego Ferrari,98,1,59.15,0
Diego Harris,844,1,77.47,1
Diego Hassan,770,1,14.93,1
Diego Jackson,964,1,225.25,1
Diego Johansson,454,2,198.23,2
Diego Jones,791,1,27.49,1
Diego Kim,354,2,790.03,2
Diego Li,208,1,50.04,0
Diego Miller,116,2,587.9100000000001,2
Diego Nilsson,728,1,11.89,1
Diego Pereira,820,1,178.65,1
Diego Robinson,787,1,433.33,1
Diego Rossi,271,1,76.01,0
Diego Russo,165,1,865.13,0
Diego Schmidt,580,2,496.22,2
Diego Sharma,114,1,61.82,0
Diego Suzuki,60,2,751.29,2
Diego Thomas,491,2,433.86,2
Diego Weber,266,1,514.8,0
Diego Williams,44,1,292.5,0
Elizabeth Ahmed,1030,1,336.94,1
Elizabeth Chen,476,1,198.36,0
Elizabeth Dubois,754,1,198.4,1
Elizabeth Fischer,11,2,245.22,2
Elizabeth Garcia,79,1,17.49,0
Elizabeth Harris,743,2,411.78999999999996,2
Elizabeth Johansson,796,1,689.29,1
Elizabeth Johnson,188,2,783.03,2
Elizabeth Leroy,387,1,1608.71,3
Elizabeth Martin,838,1,109.35,1
Elizabeth Miller,123,1,504.5,0
Elizabeth Moreau,1036,1,402.64,1
Elizabeth Müller,2,1,969.81,0
Elizabeth Park,182,1,127.22,0
Elizabeth Patel,434,1,38.24,0
Elizabeth Santos,171,1,28.3,0
Elizabeth Sato,889,1,303.6,1
Elizabeth Schmidt,68,2,1303.05,3
Elizabeth Sharma,664,1,115.4,1
Elizabeth Singh,506,2,86.0,2
Elizabeth Taylor,177,2,185.6,2
Elizabeth Wang,420,1,232.74,0
Elizabeth Weber,755,1,425.44,1
Elizabeth Williams,131,3,499.93999999999994,2
Elizabeth Zhang,101,1,110.16,0
Emma Anderson,281,1,120.94,0
Emma Brown,1008,1,81.35,1
Emma Chen,268,1,39.08,0
Emma Clark,328,1,35.8,0
Emma Dubois,304,2,251.33,2
Emma Jackson,783,1,177.94,1
Emma Johansson,959,1,24.6,1
Emma Johnson,92,3,533.21,2
Emma Jones,196,1,683.82,0
Emma Kim,182,2,190.07,2
Emma Laurent,31,1,14.55,0
Emma Martin,226,1,1158.57,3
Emma Martinez,825,1,124.47,1
Emma Miller,63,1,306.95,0
Emma Moreau,662,1,369.25,1
Emma Müller,350,2,455.73,2
Emma Nilsson,584,1,136.65,1
Emma Oliveira,1056,1,137.97,1
Emma Pereira,923,2,496.75,1
Emma Romano,270,1,219.67,0
Emma Sato,148,1,25.92,0
Emma Sharma,169,2,350.83,2
Emma Suzuki,35,2,70.33000000000001,2
Emma Tanaka,571,1,67.22,1
Emma Thompson,45,1,35.85,0
Emma Wang,126,2,321.67999999999995,2
Emma Weber,582,1,55.26,1
Emma Zhang,940,1,29.91,1
Ethan Chen,95,2,140.31,2
Ethan Clark,810,1,19.51,1
Ethan Hassan,1041,1,60.25,1
Ethan Johnson,384,2,364.29999999999995,2
Ethan Jones,207,1,99.48,0
Ethan Khan,768,1,217.19,1
Ethan Kim,869,1,50.75,1
Ethan Kumar,596,1,219.71,1
Ethan Li,313,2,261.18,2
Ethan Moreau,398,1,52.9,0
Ethan Park,935,1,1682.35,3
Ethan Rodriguez,860,1,133.27,1
Ethan Santos,165,1,28.85,0
Ethan Sato,421,1,1645.59,3
Ethan Thomas,171,1,138.21,0
Ethan Wang,144,2,490.67,2
Ethan Williams,485,1,224.52,0
Ethan Yamamoto,850,1,6.44,1
Fatima Brown,791,1,120.63,1
Fatima Costa,897,1,146.0,1
Fatima Davis,233,1,56.7,0
Fatima Ferrari,761,1,352.3,1
Fatima Fischer,44,2,600.76,2
Fatima Jackson,925,1,123.73,1
Fatima Johnson,121,1,286.32,0
Fatima Jones,699,1,88.43,1
Fatima Kim,797,1,11.38,1
Fatima Kumar,1029,1,90.68,1
Fatima Laurent,963,1,52.98,1
Fatima Li,96,2,1798.6299999999999,3
Fatima Martin,824,1,236.04,1
Fatima Müller,276,1,66.13,0
Fatima Patel,775,2,85.82,2
Fatima Robinson,549,1,51.14,1
Fatima Rossi,1036,1,24.66,1
Fatima Singh,427,3,1896.67,3
Fatima Smith,57,3,611.5,2
Fatima Suzuki,1043,2,238.71,1
Fatima Wang,843,1,27.0,1
Fatima Weber,98,1,56.81,0
Fatima Williams,432,4,629.87,2
Fatima Yamamoto,238,2,205.45,2
Fatima Zhang,95,2,125.88,2
Felix Ahmed,545,1,105.62,0
Felix Costa,885,1,308.8,1
Felix Davis,742,1,98.38,1
Felix Fischer,73,1,15.05,0
Felix Hassan,932,1,5.68,1
Felix Johansson,1047,1,18.57,1
Felix Kim,819,1,467.28,1
Felix Laurent,760,2,70.03,2
Felix Leroy,141,1,53.69,0
Felix Miller,986,1,54.74,1
Felix Moreau,1041,1,13.7,1
Felix Müller,642,2,518.98,2
Felix Park,1015,1,275.32,1
